country_ess,essround,isco88_code,skillsp
AT,1,8143,4.755789757
AT,1,7340,1.83472085
AT,1,2142,1.756999969
AT,1,7346,1.83472085
AT,1,3480,0.81347549
AT,1,2359,1.756999969
AT,1,3212,0.81347549
AT,1,2432,1.756999969
AT,1,8124,4.755789757
AT,1,4200,0.274441898
AT,1,3224,0.81347549
AT,1,2114,1.756999969
AT,1,3133,0.81347549
AT,1,5133,0.412602723
AT,1,3123,0.81347549
AT,1,7430,1.83472085
AT,1,2310,1.756999969
AT,1,2453,1.756999969
AT,1,2148,1.756999969
AT,1,9150,0.782337606
AT,1,3423,0.81347549
AT,1,8274,4.755789757
AT,1,4140,0.274441898
AT,1,8221,4.755789757
AT,1,5110,0.412602723
AT,1,8269,4.755789757
AT,1,3132,0.81347549
AT,1,7434,1.83472085
AT,1,6154,1.254999876
AT,1,8285,4.755789757
AT,1,9300,0.782337606
AT,1,5132,0.412602723
AT,1,2442,1.756999969
AT,1,3151,0.81347549
AT,1,7245,1.83472085
AT,1,7132,1.83472085
AT,1,3152,0.81347549
AT,1,8270,4.755789757
AT,2,4121,0.22679764
AT,2,7141,1.934748769
AT,2,4200,0.22679764
AT,2,5123,0.346666664
AT,2,1315,2.523278475
AT,2,7230,1.934748769
AT,2,3231,1.480000019
AT,2,2331,1.00507462
AT,2,5220,0.346666664
AT,2,6130,1.570612192
AT,2,3431,1.480000019
AT,2,7241,1.934748769
AT,2,7136,1.934748769
AT,2,3120,1.480000019
AT,2,4190,0.22679764
AT,2,9132,0.560388327
AT,2,9330,0.560388327
AT,2,2332,1.00507462
AT,2,3212,1.480000019
AT,2,9311,0.560388327
AT,2,6140,1.570612192
AT,2,9131,0.560388327
AT,2,9151,0.560388327
AT,2,4221,0.22679764
AT,2,4130,0.22679764
AT,2,3113,1.480000019
AT,2,3411,1.480000019
AT,2,1314,2.523278475
AT,2,7122,1.934748769
AT,2,4212,0.22679764
AT,2,4115,0.22679764
AT,2,7420,1.934748769
AT,2,7000,1.934748769
AT,2,9312,0.560388327
AT,2,7212,1.934748769
AT,2,7231,1.934748769
AT,2,3232,1.480000019
AT,2,1239,2.523278475
AT,2,9141,0.560388327
AT,2,9160,0.560388327
AT,2,1233,2.523278475
AT,2,3221,1.480000019
AT,2,2320,1.00507462
AT,2,4220,0.22679764
AT,2,2221,1.00507462
AT,2,8311,4.809999943
AT,2,1223,2.523278475
AT,2,3230,1.480000019
AT,2,2142,1.00507462
AT,2,4110,0.22679764
AT,2,2359,1.00507462
AT,2,2429,1.00507462
AT,2,3225,1.480000019
AT,2,3430,1.480000019
AT,2,3413,1.480000019
AT,2,5122,0.346666664
AT,2,8324,4.809999943
AT,2,4222,0.22679764
AT,2,3470,1.480000019
AT,2,3111,1.480000019
AT,2,8266,4.809999943
AT,2,9100,0.560388327
