dname,isco88_code_2dg,rti_score,offs_score
uk91,11,-0.570638001,-0.418199986
us00,11,-0.570638001,-0.418199986
us04,11,-0.597285926,-0.322426647
us07,11,-0.597285926,-0.322426647
us10,11,-0.597285926,-0.322426647
us13,11,-0.597285926,-0.322426647
us74,24,-0.635716379,0.426382989
us79,24,-0.635716379,0.426382989
us86,11,-0.570638001,-0.418199986
us94,11,-0.570638001,-0.418199986
us97,11,-0.570638001,-0.418199986
at04,11,-0.570638001,-0.418199986
at04,12,-0.650581717,-0.130879998
at04,13,-1.445287943,-0.458799988
at04,21,-0.727476418,1.308184028
at04,22,-0.909958124,-0.589510024
at04,23,-1.465365052,-0.703190029
at04,24,-0.635716379,0.426382989
at04,31,-0.292395711,0.075538002
at04,32,-0.226255,-0.584529996
at04,33,-1.368631959,-0.648140013
at04,34,-0.33859539,0.313463002
at04,41,2.410058022,0.622610986
at04,42,1.555783033,-0.055739999
at04,51,-0.497650087,-0.77658999
at04,52,0.169350505,-0.730080009
at04,61,0.144009098,-0.840810001
at04,71,-0.075297303,-0.773209989
at04,72,0.582644522,-0.26800999
at04,73,1.742398024,1.942178965
at04,74,1.382539034,1.406988025
at04,81,0.445600986,1.870820045
at04,82,0.619180918,2.65978694
at04,83,-1.417865038,-0.840810001
at04,91,0.142689198,-0.641499996
at04,92,0.380368501,-0.840810001
at04,93,0.574263811,-0.484329998
at07,12,-0.650581717,-0.130879998
at07,13,-1.445287943,-0.458799988
at07,21,-0.727476418,1.308184028
at07,22,-0.909958124,-0.589510024
at07,23,-1.465365052,-0.703190029
at07,24,-0.635716379,0.426382989
at07,31,-0.292395711,0.075538002
at07,32,-0.226255,-0.584529996
at07,33,-1.368631959,-0.648140013
at07,34,-0.33859539,0.313463002
at07,41,2.410058022,0.622610986
at07,42,1.555783033,-0.055739999
at07,51,-0.497650087,-0.77658999
at07,52,0.169350505,-0.730080009
at07,61,0.144009098,-0.840810001
at07,71,-0.075297303,-0.773209989
at07,72,0.582644522,-0.26800999
at07,73,1.742398024,1.942178965
at07,74,1.382539034,1.406988025
at07,81,0.445600986,1.870820045
at07,82,0.619180918,2.65978694
at07,83,-1.417865038,-0.840810001
at07,91,0.142689198,-0.641499996
at07,92,0.380368501,-0.840810001
at07,93,0.574263811,-0.484329998
at10,11,-0.570638001,-0.418199986
at10,12,-0.960517168,-0.258768797
at10,12,-0.999920905,-0.29612416
at10,13,-1.095617175,-0.314515203
at10,21,-0.707578123,0.878190994
at10,23,-1.433443069,-0.685023546
at10,24,-0.635716379,0.426382989
at10,21,-0.727476418,1.308184028
at10,24,-0.576886833,0.38150847
at10,32,-0.130610496,-0.379270196
at10,34,0.6392169,0.398213625
at10,34,-0.477829933,0.042295229
at10,31,-0.292395711,0.075538002
at10,41,2.410058022,0.622610986
at10,42,1.555783033,-0.055739999
at10,51,-0.497650087,-0.77658999
at10,52,0.147510603,-0.644398987
at10,61,-0.444030821,-0.699466288
at10,61,-0.491709709,-0.688006043
at10,71,-0.075297303,-0.773209989
at10,72,0.582644522,-0.26800999
at10,73,1.579696059,1.939013004
at10,74,1.07208097,1.050317883
at10,82,0.577062488,2.251911402
at10,82,0.619180918,2.65978694
at10,83,-1.417865038,-0.840810001
at10,91,0.142689198,-0.641499996
at10,92,0.380368501,-0.840810001
at10,93,0.574263811,-0.484329998
at13,11,-0.570638001,-0.418199986
at13,12,-0.960517168,-0.258768797
at13,12,-0.999920905,-0.29612416
at13,13,-1.095617175,-0.314515203
at13,21,-0.707578123,0.878190994
at13,23,-1.433443069,-0.685023546
at13,24,-0.635716379,0.426382989
at13,21,-0.727476418,1.308184028
at13,24,-0.576886833,0.38150847
at13,32,-0.130610496,-0.379270196
at13,34,0.6392169,0.398213625
at13,34,-0.477829933,0.042295229
